address,balance
3Frkduz8MJk1sYkQsefCDsZwAn6ZC2zsJc,30000
3KeVcsUkaLaTBU53eG4yPyex8qsbdk6way,1031000
3P7ZTdMGKs2iS5hPTkqVW6hfGHi8J2GqWj,200000000
33DbQ9bDMj1dFCfH6mnm8FXEBJ5VHYsqBg,1830997
33F8Pgkctd2LjTcEXANwR3G94HpiU2EjCm,9999
357owNyfpYKBGGYUWN4KnUYUZv8UfbxyCN,8908454
3K4NwMGKqeJn6MrH3vWJVRvVzVuXdDvnBL,6269162
37Nu34fvWMvgMVCJzN8J5UbCkgCS3EBd7d,293976
3PWvHqh1hxthQ8jM1dEaefVT9Su2McPXwL,2085315
3PD1H5P42E5UJC9UFHxuVmrSfNk6twLk5U,5000000
31xfnicvkPbVhrtoM3z39s2fGLQrtTmTPr,35035373
3EDhLp17PLuYptoembKx3LoBk93hjmfUDV,189701
37tgq8ekcRXQu6cvmUrmzh5qNoaXuerydL,745730000
3ParB9E7VTLQw15msMyQkfHap8CWXDuTmb,5353377
3KHJQPWCJU345c4RMRVrqznAUWUXs14ao5,91403
3ENdCQEN9mhDDHWe8xE8KMNqdSzbrCjrvW,5157643
3JFYNfwuD2X8cKYU3CFtSQqzxVTJfgyC6Z,5349560
34buJEGqky4wY2teMMdKSKBeeAVQtwnr3n,7160000
3HMY8nexzCnCCL8YjJrpGAcfSwiYCuLbxw,5012973
3PjpENUZrMo89vjEmd1YneoSbQbmeUV816,11759277
37khoxoPv9VA8iHDZVcPQx5rFbd1ChU7nW,602366000
32cGDeX2g8UUKsvxCJig173oEcQopWDYqn,5175918
3EfhpWoARSWKSQ11s5H2F38hkbyGUiV29B,1439144
3FufMdtPM87GujQvZcGdT9rQeKR1DWKXSu,50506797
3QKDWQaenFBmj6eNHDTDggXvgNpmqgsYno,931959
3D7aTkGpqTkrPnXgH4NmDL1EBQLPDZe6yR,50000000
33xbrgSQT9EmdoBv4iYXRYMeSKLo6cc8DQ,10799243
3AiWm1KsVJFtbXxRBtAnEgtaYPY9aKYUyL,767470
38RhgK5Nx3ChnZFXH2EbbQazwTYHXG7HWL,139098700
343TDnVcU5xps5f5qqDKiYJXgdnFTZHKit,287285
3H6BZAjLcHTFWk1AwokXYjCzK3n9r7s4Px,69801
3KxKPchSuenu7TN6bEUuprZ5qRMkYk78JX,1435175
3GDr8ibXuWm9NeEqcsbmtEUU6q2G9UEuqc,4638
3GgUD3CMnYdTi4UaJN5mxNkQ8Pm4cTvZiq,1334294
3DxnQ3r1ZDYfeCCuywTGUrwsqv6dSZ7Agh,10281
3DcptqSvaDoXXjJcug1E7xL1qP6MNLfL9a,4898
3Ne2A3imUCqqNwuEtsfcBHb5hDmq15oYgQ,110000
3KySRgoTxHVRKaqSvFYy5zeh6ctFkYDN8d,10000
1Fw8ogqnpa7dQWrgFiXkG2UEdw3UKea2Cv,4271499522.3999996
